date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,max_pace_min_km,avg_cadence,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate,activity_id,start_time
2026-05-01,Running,outdoor,7.21,0:39:54,0:41:45,158.0,172.0,57.0,47.0,55.2,83.8,5:32,3:00,153,663.0,118.84024047851562,3.700000047683716,0.0,,22723614353,2026-05-01 11:43:59
2026-04-29,Running,outdoor,5.61,0:28:03,0:30:14,151.0,188.0,6.0,3.0,37.2,42.6,5:00,1:37,151,442.0,132.8115997314453,3.200000047683716,2.799999952316284,,22704893210,2026-04-29 18:48:35
2026-04-25,LISS,outdoor,11.89,1:03:44,1:04:19,156.0,176.0,138.0,139.0,73.4,102.0,5:21,5:01,162,988.0,134.6495361328125,3.9000000953674316,0.20000000298023224,,22654849975,2026-04-25 14:20:52
2026-04-22,Running,outdoor,10.19,0:58:11,1:00:22,137.0,172.0,72.0,64.0,31.0,59.8,5:42,3:36,151,641.0,55.79698181152344,2.5,1.399999976158142,,22620526600,2026-04-22 17:40:55
2026-04-18,Running,outdoor,32.01,3:01:37,3:15:48,151.0,172.0,292.0,280.0,66.4,102.4,5:40,2:34,151,2231.0,161.22776794433594,4.199999809265137,0.800000011920929,,22571945137,2026-04-18 13:28:34
2026-04-15,Running,outdoor,9.03,0:43:10,0:44:30,173.0,192.0,33.0,23.0,28.4,48.0,4:46,2:44,166,779.0,254.94407653808594,5.0,2.299999952316284,,22537344206,2026-04-15 17:55:52
2026-04-11,Running,outdoor,14.62,1:21:03,1:25:33,,,77.0,70.0,34.8,60.2,5:32,4:47,152,1360.0,14.785354614257812,1.399999976158142,0.0,,22487854667,2026-04-11 12:15:24
2026-04-09,Running,outdoor,6.37,0:32:37,0:34:30,,,60.0,48.0,26.0,51.4,5:07,1:06,158,582.0,5.1759796142578125,0.5,0.0,,22469718589,2026-04-09 20:20:30
2026-04-04,Running,outdoor,21.25,1:54:43,1:59:32,,,210.0,214.0,14.4,57.6,5:23,3:27,158,1984.0,13.446853637695312,1.2999999523162842,0.0,,22405057964,2026-04-04 13:16:38
2026-04-01,Running,outdoor,13.16,1:09:35,1:10:06,,,35.0,28.0,32.0,46.2,5:17,4:59,162,1231.0,8.832138061523438,0.800000011920929,0.0,,22369408563,2026-04-01 10:36:03
2026-03-31,Running,outdoor,8.17,0:42:59,0:43:29,,,66.0,71.0,29.0,56.0,5:15,2:32,162,763.0,7.4446563720703125,0.699999988079071,0.0,,22369407463,2026-03-31 18:29:27
2026-03-28,Running,outdoor,3.2,0:15:29,0:16:30,,,16.0,9.0,36.0,44.6,4:49,3:07,161,302.0,3.8560943603515625,0.30000001192092896,0.0,,22325109792,2026-03-28 10:15:36
2026-03-27,Running,outdoor,5.01,0:25:51,0:26:08,,,11.0,6.0,29.8,38.2,5:09,4:40,166,471.0,4.2957000732421875,0.4000000059604645,0.0,,22312762993,2026-03-27 06:34:49
2026-03-22,Running,outdoor,6.25,0:41:03,0:47:01,,,28.0,15.0,52.2,67.6,6:34,4:59,146,580.0,7.0485382080078125,0.699999988079071,0.0,,22258900646,2026-03-22 11:37:34
2026-03-14,Running,outdoor,21.22,1:54:27,1:56:37,,,12.0,13.0,18.0,26.8,5:23,3:16,160,1980.0,13.454635620117188,1.2999999523162842,0.0,,22172845886,2026-03-14 15:42:28
2026-03-12,Running,outdoor,4.11,0:21:23,0:21:35,147.0,166.0,5.0,4.0,33.4,40.4,5:12,4:51,165,308.0,52.295989990234375,2.799999952316284,0.0,,22172842994,2026-03-12 06:26:12
2026-03-07,Running,outdoor,9.03,0:48:05,0:48:56,,,9.0,4.0,39.4,47.6,5:19,3:27,161,844.0,11.783096313476562,1.100000023841858,0.0,,22092921242,2026-03-07 14:17:42
